kierunek,semestr,kod_pracowni,kategoria,nazwa_przedmiotu,prowadzacy
PPP,1,P1,Projektowe,Projektowanie 1,dr Jan Buczek / Bronka de Sage / dr Jakub Marzoch / dr Robert Pludra / prof. Jerzy Porębski / prof. Wojciech Małolepszy
PPP,1,KT,Inne,Projektowanie Konstrukcyjne i Technologiczne,dr inż. Przemysław Siemiński / dr inż. Roman Grygoruk
PPP,1,PKW,Inne,Podstawy Komunikacji Wizualnej,dr Magdalena Małczyńska-Umeda / dr Jakub Jezierski
PPP,1,TM,Inne,Technologia i Modelowanie,dr Maciej Stefański / Maciej Głowacki
PPP,1,TP,Inne,Techniki Prezentacyjne,dr Zuzanna Łąpieś / Sebastian Zgutka
PPP,1,RZ1,Plastyczne,Kompozycja Brył i Płaszczyzn,dr Antonina Konopelska / dr Paweł Mysera
PPP,1,E,Inne,Ergonomia,Kamil Kowalski
PPP,2,P1,Projektowe,Projektowanie 1,dr Jan Buczek / Bronka de Sage / dr Jakub Marzoch / dr Robert Pludra / prof. Jerzy Porębski / prof. Wojciech Małolepszy
PPP,2,PPPP,Projektowe,Podstawy Projektowania Produktu Przemysłowego,dr Dominik Głąb / Mikołaj Dymowski
PPP,2,KT,Inne,Projektowanie Konstrukcyjne i Technologiczne,dr inż. Przemysław Siemiński / dr inż. Roman Grygoruk
PPP,2,TM,Inne,Technologia i Modelowanie,dr Maciej Stefański / Maciej Głowacki
PPP,2,TP,Inne,Techniki Prezentacyjne,dr Zuzanna Łąpieś / Sebastian Zgutka
PPP,2,RZ1,Plastyczne,Kompozycja Brył i Płaszczyzn,dr Antonina Konopelska / dr Paweł Mysera
PPP,2,E,Inne,Ergonomia,Kamil Kowalski
PPP,3,P2,Projektowe,Projektowanie 2,dr Jan Buczek / Bronka de Sage / dr Jakub Marzoch / dr Robert Pludra / prof. Jerzy Porębski / prof. Wojciech Małolepszy
PPP,3,M1,Plastyczne,Pracownia Malarstwa,dr Mikołaj Chylak
PPP,3,RZ2,Plastyczne,Pracownia Rzeźby i Multimediów,dr Cezary Koczwarski
PPP,3,RZ3,Plastyczne,Pracownia Rzeźby i Współistnienia,Zofia Kwasieborska-Keller
PPP,3,KD,Inne,Zarządzanie Designem i Budowanie Marki,dr Karolina Dudek
PPP,4,P2,Projektowe,Projektowanie 2,dr Jan Buczek / Bronka de Sage / dr Jakub Marzoch / dr Robert Pludra / prof. Jerzy Porębski / prof. Wojciech Małolepszy
PPP,4,M1,Plastyczne,Pracownia Malarstwa,dr Mikołaj Chylak
PPP,4,RZ2,Plastyczne,Pracownia Rzeźby i Multimediów,dr Cezary Koczwarski
PPP,4,RZ3,Plastyczne,Pracownia Rzeźby i Współistnienia,Zofia Kwasieborska-Keller
PPP,4,KD,Inne,Zarządzanie Designem i Budowanie Marki,dr Karolina Dudek
PPP,5,P3,Projektowe,Projektowanie 3,dr Jan Buczek / Bronka de Sage / dr Jakub Marzoch / dr Robert Pludra / prof. Jerzy Porębski / prof. Wojciech Małolepszy
PPP,5,MS,Projektowe,Pracownia Projektowania Społecznego,prof. Michał Stefanowski
PPP,5,JP,Projektowe,Pracownia Projektowania Kontekstualnego,prof. Jerzy Porębski
PPP,5,GN,Projektowe,Pracownia Projektowania Strategii Ekologicznych,prof. Grzegorz Niwiński
PPP,5,DZ,Projektowe,Pracownia Projektowania Krytycznego,dr hab. Daniel Zieliński
PPP,5,PG,Projektowe,Pracownia Projektowania Przestrzeni Publicznej,dr Paweł Grobelny
PPP,5,AF,Projektowe,Pracownia Projektowania Typografii,prof. Artur Frankowski
PPP,5,BM,Projektowe,Pracownia Projektowania Ceramiki,dr Bartłomiej Mejor
PPP,5,MK,Projektowe,Pracownia Projektowania Opakowań i Marek,dr hab. Maciej Konopka prof. ASP
PPP,5,JK,Projektowe,Pracownia Projektowania Interdyscyplinarnego,dr hab. Jarosław Kozakiewicz prof. ASP
PPP,5,PJ,Projektowe,Eksperymentalna Pracownia Drewna,dr Paweł Jasiewicz
PPP,5,BP,Projektowe,Pracownia Projektowania dla Nowego Przemysłu,prof. Bartosz Piotrowski
PPP,5,M1,Plastyczne,Pracownia Malarstwa,dr Mikołaj Chylak
PPP,5,RZ2,Plastyczne,Pracownia Rzeźby i Multimediów,dr Cezary Koczwarski
PPP,5,RZ3,Plastyczne,Pracownia Rzeźby i Współistnienia,Zofia Kwasieborska-Keller
PPP,6,P3,Projektowe,Projektowanie 3,dr Jan Buczek / Bronka de Sage / dr Jakub Marzoch / dr Robert Pludra / prof. Jerzy Porębski / prof. Wojciech Małolepszy
